om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
663917,2022,03,06,2022-03-06,20:24:00,3,MO,29,0,1.25,0,0,0,0,37.0300,-93.2500,37.0300,-93.2500,0,0,0,0,0,43,0,0,0
663918,2022,03,06,2022-03-06,20:31:00,3,AR,05,0,1.00,0,0,0,0,35.6434,-94.1632,35.6434,-94.1632,0,0,0,0,0,33,0,0,0
663919,2022,03,06,2022-03-06,20:57:00,3,IN,18,0,0.75,0,0,0,0,37.9800,-87.5133,37.9800,-87.5133,0,0,0,0,0,163,0,0,0
663920,2022,03,07,2022-03-07,01:54:00,3,MO,29,0,1.00,0,0,0,0,36.0500,-90.3000,36.0500,-90.3000,0,0,0,0,0,69,0,0,0
663921,2022,03,07,2022-03-07,01:56:00,3,MO,29,0,1.25,0,0,0,0,36.0500,-90.2300,36.0500,-90.2300,0,0,0,0,0,69,0,0,0
663922,2022,03,11,2022-03-11,18:50:00,3,LA,22,0,1.75,0,0,0,0,29.8100,-90.4300,29.8100,-90.4300,0,0,0,0,0,89,0,0,0
663923,2022,03,11,2022-03-11,19:22:00,3,LA,22,0,1.00,0,0,0,0,29.9400,-90.1900,29.9400,-90.1900,0,0,0,0,0,51,0,0,0
663924,2022,03,11,2022-03-11,19:25:00,3,LA,22,0,1.00,0,0,0,0,29.9200,-90.1300,29.9200,-90.1300,0,0,0,0,0,71,0,0,0
663925,2022,03,14,2022-03-14,16:15:00,3,TX,48,0,0.88,0,0,0,0,31.7300,-97.1000,31.7300,-97.1000,0,0,0,0,0,309,0,0,0
663926,2022,03,14,2022-03-14,16:20:00,3,TX,48,0,1.00,0,0,0,0,32.4300,-96.8600,32.4300,-96.8600,0,0,0,0,0,139,0,0,0
663927,2022,03,14,2022-03-14,16:24:00,3,TX,48,0,1.00,0,0,0,0,32.8200,-96.8100,32.8200,-96.8100,0,0,0,0,0,113,0,0,0
663928,2022,03,14,2022-03-14,16:27:00,3,TX,48,0,0.88,0,0,0,0,31.8000,-97.0900,31.8000,-97.0900,0,0,0,0,0,309,0,0,0
663929,2022,03,14,2022-03-14,16:30:00,3,TX,48,0,1.00,0,0,0,0,33.1800,-96.8900,33.1800,-96.8900,0,0,0,0,0,121,0,0,0
663930,2022,03,14,2022-03-14,16:41:00,3,TX,48,0,1.50,0,0,0,0,33.1188,-96.6049,33.1188,-96.6049,0,0,0,0,0,85,0,0,0
